Sample	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_fails
Mohsen168_S1_L001_R1_001	1921722.0	301	299.1487806248771	44.0	8.906300685258486	27.27272727272727
Mohsen168_S1_L001_R2_001	1921722.0	301	299.26503365210993	44.0	8.359554595628396	27.27272727272727
Mohsen172_S2_L001_R1_001	1850305.0	301	298.60531263764625	41.0	9.59113683408252	27.27272727272727
Mohsen172_S2_L001_R2_001	1850305.0	301	298.7125636043787	41.0	9.33890015211206	36.36363636363637
Mohsen173_S3_L001_R1_001	1795826.0	301	296.77951928527597	43.0	4.080708261359192	18.181818181818183
Mohsen173_S3_L001_R2_001	1795826.0	301	296.9883273769285	44.0	3.858303274446399	27.27272727272727
Mohsen175_S4_L001_R1_001	2294162.0	301	298.5406170096096	43.0	5.250956577162526	27.27272727272727
Mohsen175_S4_L001_R2_001	2294162.0	301	298.678212349433	43.0	4.936452185142272	27.27272727272727
Mohsen176_S11_L001_R1_001	1817885.0	301	298.4502897598033	42.0	4.082410372490301	18.181818181818183
Mohsen176_S11_L001_R2_001	1817885.0	301	298.5732661857048	42.0	3.8960437206149265	18.181818181818183
Mohsen178_S5_L001_R1_001	1925311.0	301	297.72911856837675	44.0	3.5135530460356676	27.27272727272727
Mohsen178_S5_L001_R2_001	1925311.0	301	297.89386909439565	45.0	3.382072719644455	27.27272727272727
Mohsen179_S12_L001_R1_001	1388267.0	301	298.55972518254777	41.0	13.596844577604458	27.27272727272727
Mohsen179_S12_L001_R2_001	1388267.0	301	298.6695311492674	41.0	13.041317909390813	36.36363636363637
Mohsen180_S6_L001_R1_001	1895288.0	301	297.3828805965109	43.0	5.575265841412971	27.27272727272727
Mohsen180_S6_L001_R2_001	1895288.0	301	297.5473157641477	44.0	5.380377430440191	27.27272727272727
Mohsen181_S7_L001_R1_001	1878740.0	301	298.6395940896558	42.0	5.35711037332247	27.27272727272727
Mohsen181_S7_L001_R2_001	1878740.0	301	298.7633376624759	43.0	5.111839048940581	27.27272727272727
Mohsen182_S8_L001_R1_001	1931863.0	301	298.8030284756217	41.0	7.760303666133822	27.27272727272727
Mohsen182_S8_L001_R2_001	1931863.0	301	298.89611892768795	41.0	7.306231662550502	36.36363636363637
Mohsen184_S9_L001_R1_001	1818810.0	301	298.65257668475545	41.0	11.767745955397686	27.27272727272727
Mohsen184_S9_L001_R2_001	1818810.0	301	298.7655829910766	42.0	11.144437180805113	36.36363636363637
Mohsen185_S10_L001_R1_001	1469618.0	301	298.46601361714403	41.0	5.727551787761399	18.181818181818183
Mohsen185_S10_L001_R2_001	1469618.0	301	298.571211022184	41.0	5.425024585881417	27.27272727272727
